tick,delta_ns
451,200532834.61185852
452,199820623.0279544
453,199882734.90548107
454,199628473.2394717
455,200254416.11410683
456,200702108.47906488
457,199897270.2061841
458,200370006.24600834
459,200564963.21058917
460,200193733.53070095
461,200551953.87696406
462,201213122.25053436
463,200010221.43473157
464,200502294.09741452
465,199698852.46476597
466,200804056.75962958
467,199990147.15144694
468,200047320.9186217
469,200057265.98509276
470,200511185.9765735
471,200327640.58518705
472,200111164.07680544
473,200137692.57444465
474,200493769.06136003
475,200416261.74280766
476,200507424.25119573
477,199625988.4487849
478,200049954.84460345
479,200472394.28065023
480,200281949.09451723
481,200758675.49918938
482,200608576.9903801
483,199803550.09334147
484,200526276.81090298
485,199798451.21624562
486,200166125.11747456
487,199700489.5887019
488,199983767.64473942
489,201155079.4611726
490,200502428.6587588
491,199819083.75290853
492,201192708.0754828
493,200668448.0100206
494,199973645.74298662
495,200554886.2695124
496,199672748.0433633
497,200424118.0611253
498,200821550.35184765
499,200340314.7080147
500,200031134.70533153
501,199956851.6506978
502,199771450.3253703
503,199881328.03011397
504,200649841.14069307
505,199958073.1433117
506,200883918.924124
507,200463762.43677998
508,200251338.02800214
509,199544253.41712725
510,200726018.53851914
511,200119580.99672794
512,200427954.79570442
513,200230243.01100272
514,200269907.00988343
515,199819303.46965876
516,199832833.36501703
517,200064506.32458177
518,199737726.4283673
519,199689213.32613912
520,200005854.85239998
521,200182359.82266572
522,200272713.08279237
523,199332544.00771672
524,200511279.44915453
525,200440125.57363075
526,199885374.95800793
527,200910210.7517658
528,199876262.82142624
529,200797335.19499892
530,200415376.33395436
531,200767488.52529705
532,200545688.01076925
533,200089999.19409382
534,200373269.6795624
535,200435073.28340977
536,200190515.72364688
537,200449410.52117518
538,200609501.80483115
539,200187295.67458415
540,200211830.6794966
541,200162300.5138127
542,200571488.9831427
543,200391241.94804198
544,200097384.5064609
545,199944134.6592672
546,200953946.4937776
547,200083905.8336624
548,200372943.11352387
549,200786293.0878276
550,200865710.7146999
551,200453816.03139094
552,199958624.78201818
553,199996990.52261007
554,199937605.06134334
555,200059729.29991078
556,200593412.7646764
557,199759912.30750963
558,200275754.83789977
559,200559231.2389536
560,200934788.74306765
561,199952004.80173993
562,199477588.43344545
563,199796784.36949542
564,199602120.12212405
565,200549341.2576572
566,200056181.19004804
567,200069532.59845206
568,200244679.1249037
569,200712384.59927124
570,200245919.41080993
571,200222103.14246294
572,200579515.5319582
573,200335664.80686352
574,200474338.20441613
575,199623672.93801695
576,200532808.94219834
577,200333385.74264863
578,200547723.05083263
579,199847443.23724297
580,200018514.62008843
581,199843583.14645723
582,200622811.29004046
583,201128459.27701792
584,200477177.6974118
585,199645778.64803377
586,199806556.23773512
587,200324562.4229323
588,200142964.51563546
589,200350883.10748664
590,200108476.04755843
591,200096816.19539925
592,200305432.9057818
593,200334301.3870002
594,199074077.5299798
595,200580740.58470187
596,199488987.269611
597,200401085.9023923
598,201355682.24060178
599,200063282.7360156
600,200131325.64908192
601,199659111.06544176
602,199806455.58794352
603,200177502.21207947
604,200919832.7709529
605,200350019.1313139
606,200395057.8227267
607,199401790.02251074
608,200137842.95175487
609,200188491.1044025
610,199198330.08622527
611,200341623.3509059
612,199302724.2884322
613,200871932.68804395
614,200755802.87908253
615,200438989.31897298
616,200524981.23096702
617,199886860.3478612
618,200087784.55894038
619,199923613.13253126
620,199196794.9023259
621,200310910.367625
622,200216618.81927985
623,199642680.81666148
624,200504492.92577985
625,200396705.77513337
626,200458651.31241822
627,199212255.32476977
628,200791719.57528552
629,200775189.6533517
630,200329833.91282368
631,200546430.24051836
632,199880328.2549432
633,200024281.44266355
634,200355949.94611427
635,199521960.8032573
636,199542941.3375841
637,201001006.03304073
638,200059141.3862551
639,199851305.27443263
640,200182887.75937098
641,200053525.0528148
642,200111216.3339654
643,200115225.02508387
644,199645471.39313996
645,199506305.08253425
646,199987154.7423537
647,200327322.71882483
648,199859366.6414177
649,200179482.16785803
650,199982277.59914476
651,201178835.09765124
652,200875516.189193
653,199902003.65528107
654,199835933.0097893
655,200310656.15428182
656,200165276.1292411
657,200608860.21851486
658,200787776.94341037
659,200084053.34522614
660,200038189.94447687
661,199969500.07616225
662,200926652.85429823
663,200219539.72700626
664,200563258.35585526
665,199849738.41192645
666,200034856.80000034
667,199406524.740656
668,200518918.54141447
669,200507242.36120954
670,199903199.45906788
671,200271128.35643855
672,200061269.19171065
673,200523227.9974684
674,200141175.74734637
675,199756851.49830675
676,200519479.34527463
677,200220021.11969045
678,200307583.71456704
679,199760277.51420754
680,199949717.26230195
681,200725674.0580981
682,199984019.7890072
683,199699288.0985814
684,200496558.83156112
685,199898311.56595984
686,199699774.09311575
687,200129298.3824505
688,199443913.4497899
689,200138974.39757514
690,199458065.01587233
691,200844636.59897703
692,199956677.6894477
693,200399005.83690023
694,199918720.2881602
695,200199369.98266914
696,199812851.12995854
697,199863520.75927818
698,200832006.70494998
699,200024119.54788244
700,200637003.29756653
701,201113777.57184982
702,200562563.71044832
703,200141730.9094229
704,199798880.76647153
705,201030112.62517276
706,200500975.75947013
707,200332286.6745438
708,199958499.89974844
709,200447408.29013076
710,199711603.9469973
711,200493989.7382226
712,199953748.95762667
713,200654958.72075367
714,200141357.2636545
715,200531079.1884593
716,200299708.1078414
717,200315681.77166486
718,200753721.26260668
719,199462290.7148415
720,200625402.8401947
721,200222825.73806697
722,200462867.3943512
723,199678850.05390543
724,199732794.34966487
725,199963938.8090556
726,199848484.5795192
727,200092260.43731785
728,199767316.65812343
729,199820801.15260696
730,199427379.1668331
731,199920833.64855257
732,200041761.6652515
733,199504656.46541736
734,199361655.28508136
735,200459196.5855955
736,200019393.1000216
737,199834856.8978242
738,200059553.05622828
739,200135896.86840305
740,199918452.12104762
741,199875264.35868317
742,199973047.98240605
743,200202687.7107194
744,200412654.60071653
745,200380542.33747432
746,200345633.02265108
747,199530988.9669804
748,199909967.61562976
749,201068382.3068815
750,200794620.59353504
751,199815372.8146896
752,200189036.6471992
753,200077532.65105602
754,200467702.21877247
755,200302624.49083814
756,199591633.37446192
757,200343710.42103454
758,199877060.7642619
759,200293248.4376691
760,200683246.91316196
761,200193803.01203185
762,199891467.01692182
763,199797742.56321344
764,200142860.21535918
765,200297573.11309567
766,199927696.21730718
767,200259972.0441293
768,199870261.76111105
769,199657539.3245624
770,200191755.48538736
771,200498280.3876444
772,200622656.91361853
773,199714425.14719793
774,200263626.28980848
775,200762028.52883938
776,199953819.9945816
777,199722420.80067545
778,200383674.23771366
779,200933999.81439793
780,200721746.6526599
781,200579196.4136473
782,200309984.76541284
783,200014147.0832735
784,199770455.3639927
785,200085247.3146906
786,200407276.55378494
787,200428242.26069626
788,199972185.652616
789,200534763.44279268
790,200160915.78446048
791,199637761.83232304
792,200370027.2247036
793,199767858.8111997
794,200047863.04905373
795,199929952.99525675
796,200211303.54409385
797,200009228.83417648
798,199990284.81965837
799,200400399.5660209
800,199954150.66906592
801,199664639.70407063
802,200386697.75002736
803,199958964.06113425
804,200282008.1663538
805,199658654.66892144
806,200961038.97260126
807,200390746.27605876
808,200340437.2685122
809,200083293.676195
810,200069065.7281183
811,199506377.07179442
812,199877786.50933698
813,200092775.02491495
814,200452438.7430295
815,200893859.22357392
816,199812951.12287423
817,199432205.5258706
818,200237648.4594738
819,200036280.19036108
820,199835899.3502056
821,200724736.377358
822,200474386.1707933
823,200049697.2518017
824,200411452.87737644
825,200419343.35412195
826,200379571.80539113
827,199416824.7937296
828,199918169.6056301
829,199807349.6080125
830,200051442.85502583
831,200133716.11671618
832,200438455.6431093
833,200598618.086954
834,200766650.78599417
835,200280491.5108546
836,200082802.45162922
837,200576705.20554096
838,199957794.99543345
839,200243185.29147115
840,200372804.98714134
841,200133325.84225434
842,199585774.52014318
843,199858154.6799599
844,199666659.34273747
845,200878366.29207242
846,200353155.52752045
847,200082690.23056182
848,200550149.04073915
849,200774658.8479968
850,199437238.00147912
851,200003373.45084655
852,199793760.4696056
853,199613841.05466676
854,199969040.12631083
855,200465747.1569316
856,200213930.10252106
857,200173612.2988704
858,199979262.49867415
859,199258779.08060297
860,200085739.3767141
861,199801801.37206638
862,199793553.31964695
863,200288301.01703405
864,200245973.85804132
865,200639828.19342723
866,200405716.2998159
867,200063372.2926492
868,200594656.72577474
869,199846273.78521705
870,199808711.81856337
871,200515520.91305286
872,200529559.9730784
873,200582964.86558884
874,199693946.62535053
875,200156884.48912996
876,200205600.36100715
877,199798368.7014709
878,200817864.9168378
879,199951662.24861974
880,200317468.1217324
881,200225260.62959257
882,199856740.61915547
883,200062226.50932708
884,200486490.56022137
885,200835614.72560674
886,199847722.47207257
887,200025720.71392375
888,200334681.55711976
889,200105643.51528603
890,200688758.1812044
891,200437616.16768298
892,199923412.59534287
893,200066798.28654838
894,200461494.1192545
895,200252428.60789368
896,199970069.92341545
897,200210548.57415906
898,200175861.33171842
899,199253204.49712747
900,199684729.90554404
901,199526438.1672848
902,199671406.5328177
903,200550408.50715607
904,199895225.81152943
905,199984489.6535198
906,200067424.75818288
907,200072165.38804182
908,199260401.72465554
909,200445373.83818597
910,200421632.42838326
911,200026319.68823785
912,199716445.95811242
913,200808166.09173617
914,200435709.70789614
915,199698727.28247154
916,200949009.22416487
917,200144206.82692528
918,200307733.70649743
919,199347764.07746583
920,199784996.0309747
921,200210265.12040722
922,200354220.67512417
923,200301425.77398854
924,199907487.55881202
925,200015449.79667184
926,200063110.45804352
927,200198105.5306137
928,199898604.80331367
929,200332764.04871342
930,201344576.6041628
931,200044467.51198116
932,200123695.43509343
933,199201552.95561528
934,200436517.54682544
935,200019089.0381494
936,201245196.751494
937,199717664.79651472
938,200509299.58374527
939,199851516.10320154
940,200307843.36555055
941,200659395.17480537
942,200231805.30381122
943,200262575.62603942
944,200436574.66733617
945,200150024.7145046
946,200102647.2763728
947,199649109.2636341
948,199984804.13930455
949,199743594.43282035
950,200220538.166148
951,200450954.8409508
952,201134957.99983555
953,199729586.60987964
954,200611441.92973256
955,200278037.60206518
956,200084111.61433673
957,200415758.45237836
958,200661684.16775784
959,199915791.164888
960,200166489.4105785
961,199836716.6383179
962,200123724.85103196
963,200233259.52980554
964,200402491.21556813
965,199544816.84508547
966,199564705.7581745
967,199747001.2189419
968,200559372.1196055
969,199811171.55793637
970,199742958.31093472
971,200092210.7374161
972,199659212.30438882
973,199695428.71868822
974,199990438.64020318
975,200122189.32515287
976,200826485.95153978
977,200867570.172193
978,200860826.82093287
979,200677466.14454225
980,200337296.00838718
981,200220878.06137156
982,200713328.01050484
983,200830556.36029643
984,200416727.99569458
985,200413004.0352193
986,200237069.37021878
987,199939796.8403598
988,200856464.85945907
989,199602793.36362222
990,200887484.14588317
991,200280078.17217538
992,200189134.32792312
993,200293782.65908903
994,200067008.09953308
995,200707123.21427467
996,200233967.9044749
997,199654632.34388417
998,200128988.16188273
999,199971891.93071845
1000,200453074.46445906
1001,199999707.8723216
1002,200258132.2822743
1003,199633919.61917692
1004,199977986.34788895
1005,200068530.27715775
1006,199876705.18773392
1007,199143968.5660305
1008,200412632.52553928
1009,199640412.23850787
1010,200059471.5360508
1011,200048106.79390827
1012,199156464.65695852
1013,199502852.9503141
1014,199973975.70031598
1015,199955865.96430597
1016,199926925.7883231
1017,200018983.76540378
1018,199578676.53593236
1019,199971355.89796352
1020,200631452.1275642
1021,200219075.07961974
1022,200528849.49883497
1023,200559148.45722368
1024,198981417.3752518
1025,200299978.63696346
1026,200442911.71682277
1027,200621524.20139194
1028,199396786.3649752
1029,200956343.2257349
1030,200165548.4590468
1031,199729883.35236323
1032,200246594.83753067
1033,199681853.19075996
1034,199755889.5229637
1035,200496279.2001001
1036,199799722.33617258
1037,199881938.85829553
1038,200120621.13889426
1039,199568936.97031483
1040,199159262.3536791
1041,200846034.82984865
1042,200329285.61025575
1043,200205836.18880832
1044,200424384.86892304
1045,200434447.86069536
1046,199531666.3110568
1047,199689093.7018198
1048,200566844.34310588
1049,200224877.02387366
1050,200119343.1829765
1051,200686966.41480926
1052,200657973.88021573
1053,200928157.68297672
1054,200590883.89935553
1055,199889888.4988586
1056,200747238.52426222
1057,199849409.4647099
1058,200288308.6827947
1059,200225608.569436
1060,199852042.6496
1061,199560643.4091403
1062,200315310.26240474
1063,199638364.74675578
1064,200034458.72945854
1065,200453130.86924428
1066,200178677.69789007
1067,199978056.4764427
1068,199989618.2604011
1069,200017392.94710445
1070,200193098.30570588
1071,200846161.35411805
1072,201055696.2187895
1073,200066596.21744585
1074,200795123.35320047
1075,200379026.61193877
1076,199775931.26358104
1077,199748135.3417291
1078,199739226.30237612
1079,199644696.30802026
1080,199777628.55085823
1081,199457276.25901055
1082,199556376.22062993
1083,199589079.88150397
1084,199687893.9852771
1085,200235292.64601475
1086,200192334.3944135
1087,200680818.39114195
1088,200292022.58818576
1089,200358965.63977623
1090,200317839.20432067
1091,200211145.2565196
1092,200266701.03006843
1093,200403021.7109196
1094,200765836.73659542
1095,199978912.56278554
1096,200355380.76613325
1097,200451553.1698125
1098,200837246.049088
1099,200135678.50248998
1100,200413002.90699995
1101,200162243.50914022
1102,199714782.28562108
1103,200104383.09890866
1104,200715987.89043236
1105,200145010.223089
1106,199883813.76408425
1107,199802266.0941311
1108,200453492.5255154
1109,200031810.26264036
1110,199354731.35594973
1111,199935741.44676498
1112,200434488.8521196
1113,199600398.78649384
1114,200274855.75363317
1115,199916063.15171337
1116,199670044.9319889
1117,199852361.5326296
1118,200695219.42702907
1119,199831571.05097896
1120,200141292.37910885
1121,200172224.7015081
1122,199818764.49769643
1123,200710072.64419222
1124,200481618.09124774
1125,200002177.67106038
1126,199642958.8759396
1127,199312679.47700498
1128,200128390.45753002
1129,200801851.29597124
1130,199499973.5104391
1131,201014882.9238769
1132,200110674.8862189
1133,200085212.04390767
1134,200136778.33305663
1135,199090501.71435118
1136,200235349.98685986
1137,200206927.72515962
1138,199198445.26871532
1139,199996191.4343383
1140,200233526.73179844
1141,199846569.93614116
1142,200166707.3723048
1143,199911567.18758526
1144,199253575.84574458
1145,200423133.79576528
1146,199822857.66817033
1147,199936176.915749
1148,200261334.55071893
1149,199910447.69541794
1150,200031927.3135705
1151,200057495.04301512
1152,199780619.45194954
1153,200431573.33699933
1154,200747582.47575504
1155,199812435.6311022
1156,200246821.36243972
1157,199891048.3989209
1158,199139222.80703816
1159,200443001.4607496
1160,199807810.61802405
1161,199993070.02597198
1162,199943227.3355773
1163,199994144.09741804
1164,199964820.03458813
1165,199642526.14483812
1166,200934883.15548214
1167,200783099.8254887
1168,199875914.39219207
1169,201049933.69763288
1170,200138686.4281929
1171,199438709.15556306
1172,199434976.56739953
1173,200581484.3885923
1174,200631980.39874026
1175,199722826.46041918
1176,200332807.42229897
1177,200575260.297538
1178,199450979.58662587
1179,200358279.56216824
1180,200486668.14953828
1181,199922659.90253228
1182,199984415.60069525
1183,199599218.01259747
1184,200102714.0833783
1185,199848286.4327703
1186,200287247.75520626
1187,200135705.12434563
1188,199621054.31403247
1189,200454156.50966445
1190,200069882.49533504
1191,200001335.74702713
1192,200083124.2932643
1193,199996093.95866963
1194,200456509.04337823
1195,200634323.04957616
1196,200522784.14835542
1197,200005206.83712322
1198,200262207.6807574
1199,199419508.04660207
1200,200264169.38751322
1201,199754328.80749896
1202,200253205.08825365
1203,199541447.35385206
1204,200196588.21718854
1205,199239115.2721132
1206,199763331.22970337
1207,199787139.96918634
1208,199739472.1009147
1209,199633381.63590676
1210,200051840.80456984
1211,200447407.98680115
1212,200124823.5282817
1213,200550753.46754783
1214,200453065.34952724
1215,200323205.59870422
1216,200327895.26232556
1217,200066932.5663317
1218,199970877.35530233
1219,200617376.81729826
1220,199862685.16349012
1221,200608464.76051116
1222,199910109.120017
1223,200436291.58619544
1224,200336684.48990625
1225,201031403.97570857
1226,200483467.4210767
1227,200263356.2398865
1228,200697780.29451978
1229,200871503.36202654
1230,199013591.7588685
1231,200431197.65852574
1232,199846725.17876142
1233,200273545.61929783
1234,200870536.70750463
1235,199991292.7379195
1236,200339430.9810195
1237,200410946.92147923
1238,200152095.52863103
1239,200050099.04922378
1240,200351732.06999004
1241,200280242.87152994
1242,199976742.7094283
1243,200088909.39894217
1244,200412782.366301
1245,200332179.28951028
1246,199520218.72701034
1247,200409976.8735066
1248,200195392.84679583
1249,200981006.76532608
1250,199911390.88461122
1251,199665436.00281128
1252,200361453.72846872
1253,199818566.20459202
1254,199887819.63855207
1255,199726121.15502062
1256,199893268.97538078
1257,200000204.7399252
1258,200937607.15664434
1259,200784734.8471556
1260,200002276.93786213
1261,200253156.86368716
1262,200126433.84632474
1263,200348731.63661692
1264,199823313.28698072
1265,199966439.820694
1266,200650371.0257469
1267,200212174.2765545
1268,199779742.60454667
1269,200454019.5504338
1270,200704273.58169577
1271,200223339.82817635
1272,200168693.39170966
1273,199389984.27788138
1274,200474750.74569726
1275,199836515.53700432
1276,199916493.18171772
1277,200350493.64392337
1278,200666220.2449499
1279,199885134.646874
1280,199665257.3826176
1281,200930646.18280712
1282,200830858.2732852
1283,200353973.68342376
1284,200084312.3210128
1285,200620781.97843394
1286,200498396.4764008
1287,199489445.7891403
1288,199659670.37673935
1289,200350399.52524212
1290,200595136.9075683
1291,199552935.22921115
1292,200011942.12479392
1293,200185633.92903283
1294,200558478.39600754
1295,199945560.82131398
1296,199747696.17543116
1297,200492506.08593616
1298,200169945.30677658
1299,200215712.02903312
1300,199966120.98125598
1301,200255334.5032136
1302,200189328.8396016
1303,200238104.80835125
1304,199147705.12244898
1305,200433558.90463018
1306,200215421.89138192
1307,199726369.04868302
1308,199661143.7854579
1309,199475262.38014606
1310,200176389.98275936
1311,200306632.14336187
1312,200657327.09731436
1313,200725521.6147252
1314,199785389.63953125
1315,200304256.83876446
1316,199254042.74106246
1317,200586108.18953142
1318,200709683.56843135
1319,199891983.1014634
1320,200285744.84980482
1321,199902133.55950788
1322,199757502.1574556
1323,200058543.48851538
1324,200698725.16571948
1325,199638038.90949285
1326,199923633.04101336
1327,200733806.80670682
1328,199690792.25213802
1329,199368093.91774517
1330,200287587.50032285
1331,199658541.04049072
1332,200215541.3618244
1333,199629091.49846125
1334,199700459.93811437
1335,199873843.4237837
1336,199825939.4499994
1337,200327625.79333207
1338,200463578.68897733
1339,200408211.05164823
1340,200272106.38340113
1341,199785236.55798832
1342,200023730.9213888
1343,199945651.56439263
1344,200486118.6895219
1345,200504511.31600323
1346,200390230.21550274
1347,200374236.83902684
1348,200526532.3970576
1349,200218906.7331281
1350,200036022.61402184
1351,199504460.55596012
1352,200226463.57440117
1353,200516805.75708643
1354,200166240.05595484
1355,200322657.0780653
1356,200594598.3818546
1357,200135131.3985448
1358,199881790.34669262
1359,200319951.2921783
1360,200062577.6443294
1361,200142536.589269
1362,199789446.31373572
1363,200102708.44468397
1364,200161944.6454353
