ciclo,cfs_ideal_ns,cfs_estres_ns,rt_estres_ns
153,200348380,199707640,200984511
154,200439608,211568060,200722309
155,198928472,209039268,201020454
156,202798661,202247398,200585730
157,200710749,214009743,200349809
158,198213044,208927061,200597101
159,200984830,203700674,200081911
160,198537977,195002377,200310076
161,201180626,214163770,200588785
162,201737893,199441710,200582159
163,198768976,198418405,200446790
164,201445064,209090281,199805907
165,200619171,214759009,200818204
166,201233090,210537091,200917114
167,202845189,207255636,201321845
168,199631917,207379017,200720887
169,198869395,208413662,200500730
170,198665728,208035714,199993485
171,198776284,237231839,201246008
172,199884347,205416804,200623916
173,200511727,204749627,200596686
174,200415036,201984141,200372971
175,201240774,203877299,200341015
176,200019502,198228172,200844133
177,202180301,204606641,199989279
178,199603014,201045635,201312715
179,204080253,200585642,201203763
180,200938501,205719576,200322969
181,198714263,210568009,200068067
182,198393661,208673266,199492397
183,200723708,198717997,199874293
184,199664805,201041487,200864955
185,201071000,208763084,200657670
186,200709856,201070050,200746826
187,199890756,204101467,199577210
188,198729809,207200208,200302092
189,197727729,201126622,201183636
190,199330227,205421502,200451986
191,201284598,199663898,199863852
192,200321140,202594529,200444198
193,198131391,206279127,200114491
194,200259771,198628025,203060015
195,200577976,206761898,200510272
196,198674213,204921448,200771648
197,200230587,207209959,199891038
198,200087313,205895656,200275641
199,198285544,210456561,201045217
200,200536681,205500898,199822859
201,200841176,203282377,199998443
202,201624576,279197724,200599648
203,201580703,207173192,200643364
204,197933495,205195440,200255575
205,198593262,205162366,200360783
206,200772552,202192033,200766612
207,200770678,202348396,200924817
208,200772571,199389578,199965389
209,205779097,211998306,200682159
210,200856335,200024547,201256008
211,201703348,202228379,200442053
212,201431002,202126370,199960080
213,200977086,208579697,199936954
214,199527096,203820201,200419631
215,201138453,209990968,201017923
216,198840762,202306037,200479622
217,199644772,206115976,200594615
218,199271954,201658611,200001829
219,200122811,257856035,200991558
220,203471987,200249606,199927170
221,197199102,206239282,200247751
222,201029390,207535107,200814957
223,197580926,206655196,199480284
224,199292102,204258849,200586980
225,201633425,204480717,199980463
226,200096420,205175245,200508274
227,198383382,204411991,200323972
228,198927044,208855516,201552917
229,201019396,213842092,200303439
230,198904450,202770032,201421325
231,200324687,199520788,200793476
232,200068357,204646871,200099270
233,199022599,283558885,200665405
234,203215916,201785301,200347795
235,200950878,211556467,200621078
236,196962286,279390534,200143054
237,200279681,202785647,201345088
238,199007320,207275932,200962699
239,201278650,211513586,200515890
240,198811218,203483489,201364557
241,199827895,204185678,200537139
242,200757480,253266513,201048812
243,201298632,278513074,200519150
244,198199555,202402889,200696943
245,199498248,200104238,200459280
246,199287582,205136333,200547650
247,199020006,201920107,200585265
248,202648181,205935143,200165134
249,200607472,267425753,200299465
250,198108674,206323520,200391622
251,201376792,208334115,200614855
252,203183234,197025057,200484710
253,201548697,206496226,201086516
254,197720945,209910675,200923559
255,199273648,200161435,200401836
256,201900366,211690289,201190891
257,198938495,206676076,201436510
258,200665729,202179952,199478086
259,201161951,204776923,200966145
260,198609604,207233307,200153507
261,199910711,205304021,200900374
262,195138098,207155023,201119118
263,198463418,201317305,200061503
264,199621147,205677443,199573836
265,198128325,199345142,200917717
266,202448616,204555095,200567701
267,197854787,201384369,199665780
268,199339933,202057880,201764782
269,200196110,209944372,200812209
270,202161909,209365240,200835050
271,197846206,207436552,201182908
272,201744745,200630748,200209588
273,200015349,203734366,200565227
274,198527737,209852390,199840339
275,200693155,205566867,200196025
276,200298589,214277318,200692830
277,199099674,206573271,199667357
278,200104703,205768196,200181855
279,199422029,203763534,200036033
280,200170276,205534163,200571046
281,200993196,204390120,200787350
282,202379025,207832434,200871076
283,198143276,208826809,200999408
284,203199550,201856042,201186058
285,197071868,199675068,200803622
286,199772322,197655178,201443667
287,200882475,207031965,200559751
288,200421487,200586533,200413339
289,199065950,196388437,200803653
290,199687816,206554314,200391794
291,199260498,214971998,201426282
292,199115952,204975716,201065491
293,201274403,208353963,200875139
294,200535523,205327317,200565709
295,198960635,204604441,200296261
296,201349399,262893527,200850662
297,200460949,267783788,199936451
298,201219293,206069569,201267181
299,200944443,206286791,200411181
300,198756507,202327638,200652553
301,199159728,208968169,200045199
302,201120940,204300160,200861493
303,200915555,201977019,200273129
304,199968647,253523647,200824614
305,200175991,201406128,200878696
306,201916497,205112724,200176183
307,199112642,204963524,199938235
308,200820646,209343582,201265949
309,199696711,206898792,200403850
310,199673478,204899892,200612424
311,201648165,208271065,200742732
312,201238124,210560830,199873149
313,201220264,207231241,200731333
314,201958218,205041410,200549563
315,200031505,199752655,200178234
316,201022929,200739545,199921732
317,199534599,203779101,200802942
318,200486249,270193865,201063856
319,199804785,204252114,200589295
320,200145493,205226599,199782767
321,200892735,207118771,199971333
322,198772668,204718004,200283938
323,203138580,206946006,201282309
324,198490973,205257897,200376624
325,198178717,197098133,200265715
326,201737166,201242658,199663257
327,201187494,204423649,200171657
328,200936179,200161221,199883531
329,200942518,207399714,199998410
330,199981629,211123003,200559975
331,198654118,209875047,200299417
332,200113706,204146228,201349747
333,198984257,210962904,201039001
334,201462679,205594669,200195558
335,199779413,203651656,200041591
336,198761754,202546389,201191320
337,199517921,203790121,201330021
338,200619397,203447292,199402875
339,199154413,205681664,200546428
340,198766669,249686394,200374060
341,200365530,205012184,200824560
342,200367449,206747752,201471334
343,199239585,209762585,200257971
344,199293442,271186928,199469650
345,200348074,239232231,200789503
346,197827873,194784315,201194982
347,197888804,208737279,200348120
348,198922333,199532485,200147481
349,199679829,204100938,200281370
350,200466361,200319547,200925102
351,202213034,197792078,200272769
352,201286489,207165850,200664380
353,199760092,208036620,200513901
354,199971475,202693958,200462310
355,198496205,194635830,200850646
356,199972230,202815022,200260710
357,199567012,206567216,200284706
358,200484077,199084353,200898801
359,198759153,205733439,200006537
360,200779019,204938760,200059889
361,202299108,207317165,199869842
362,199836859,205478321,200924505
363,200602567,201107724,200447381
364,201035215,209786286,199843192
365,199398169,204365881,200926904
366,200336138,204890781,200222228
367,200018888,201266928,200064160
368,200146514,203226870,200402160
369,198840485,201460789,201239361
370,200036765,204308215,200302518
371,200746997,211846833,200787669
372,202176715,199512395,200863540
373,201438906,198545754,200721636
374,203229773,210884681,201135535
375,198848978,283184483,200146441
376,201308480,202323709,199978332
377,200275013,209159618,199968516
378,203284704,202577537,200427765
379,198787552,212304038,200026476
380,198740417,207711703,200573770
381,199100911,203048354,200538494
382,196814156,213629232,201009286
383,199211367,202577140,200645572
384,198861301,207968381,200291924
385,200225590,206197170,200705424
386,200512633,210206965,199984902
387,202814256,211246044,200480929
388,201425635,205128016,200659700
389,199134644,201986328,200564658
390,198652377,206839888,200707532
391,200737878,202289138,200177976
392,198019650,213053548,201076015
393,202747188,205546141,201411084
394,201769160,203538713,199698661
395,199296236,205738721,199892201
396,197430298,199611494,200521541
397,202030808,201113543,200371724
398,199828190,209801655,201448206
399,201856724,202372422,200609892
400,197608358,200812356,201196272
401,199100937,207146611,199475438
402,200007865,209742816,200907084
403,200070470,207875813,200142241
404,199324901,208984190,200134228
405,200934274,201972819,200375820
406,198398569,199312757,199787708
407,199786430,211005334,200721392
408,200180443,203709280,200595357
409,200771658,269728731,200633096
410,201067422,210312776,200943515
411,198313036,207224920,201257391
412,197698828,206823551,200318144
413,201916515,213660009,200738675
414,200498471,202425927,200646494
415,198877270,208711360,200688807
416,202326727,205228052,200696298
417,200173511,206074369,201295251
418,201768945,211113873,200270161
419,200101277,207031343,199737132
420,203091121,207153184,200151063
421,202633011,209290029,200878633
422,199626553,203540189,200511664
423,201457356,201643161,200266200
424,200968063,200820763,199961751
425,202052947,197134573,200610643
426,198552614,213224828,200822253
427,201029077,200587166,200652936
428,201587636,204114985,200373334
429,197361890,203892746,200573320
430,198225112,206229626,200570421
431,196941151,208262948,200594848
432,199595889,208441893,199907847
433,201076313,202667690,200598663
434,202253535,204331513,200279701
435,200111142,206130319,201020309
436,202442923,204005235,200566459
437,197929847,211429382,200917739
438,197444926,206963899,200349109
439,199916678,207939511,200367143
440,200576098,207651525,201247125
441,199950957,209693895,200718167
442,196898836,205724086,200142742
443,199866319,199812672,200948487
444,198043295,206598751,200233347
445,201004508,202394572,200612849
446,200549897,202885533,201418337
447,198590180,207345456,199784358
448,199229199,209953132,200412109
449,198411179,205085086,200704135
450,199905981,206235332,200882349
451,201432713,211808859,199879383
452,198521410,205963012,199732104
453,200756069,215406732,201045374
454,199204613,207262038,200139792
455,198810690,197956948,200118858
456,199839454,208013366,201275124
457,198447136,256753066,200534851
458,199169526,210159011,200538119
459,198203183,265026988,200410100
460,202947087,204446176,199888008
461,200052895,200102807,200837848
462,198950411,204163906,200704725
463,200320969,201597918,200584345
464,199831507,202677906,200441838
465,199668545,207354313,200353840
466,200921250,211679618,200956241
467,201136261,206578686,200429353
468,199204248,200216467,200467969
469,199136272,206778410,200764946
470,199587422,209786525,200603980
471,196547118,202560868,201321138
472,197727213,204463931,199619316
473,202050311,205058752,200649953
474,202467451,201860406,200147197
475,199626445,207593121,200028956
476,200864835,204516207,200271467
477,200466875,206678129,200527339
478,204618321,201450031,200549534
479,201679362,203250166,199741346
480,199808123,207889525,200229458
481,198566689,203508667,200640610
482,197590330,211907855,200061534
483,200305195,203401455,199942608
484,198865473,205898738,199371933
485,197866619,208730363,200168403
486,199030140,199326537,199925185
487,198377677,197956764,200008033
488,202530712,198897374,200364089
489,201322459,210050336,200200085
490,199988041,202792567,203440727
491,202219916,215232797,199442079
492,200116052,202743009,200651155
493,198708073,205738205,200876413
494,202284686,211168439,200301627
495,200808365,213024371,200367112
496,198444130,213246014,200501405
497,199714491,209833464,201289391
498,198686572,209096250,199716146
499,197925800,207370107,200292755
500,201389266,208113444,199639013
501,202864124,202795257,200681159
502,197902148,266558568,200428020
503,200844453,204986502,200601496
504,199024036,204319261,200576561
505,199269311,233962504,200995354
506,199111409,207785549,200769066
507,198704013,208821220,200915253
508,200072782,255840589,199967232
509,198753574,210910120,204852475
510,200405685,200433243,200138818
511,199924642,204225362,200167565
512,199641577,202132710,200635421
513,198638654,197533853,200650959
514,199134843,204669277,199964071
515,201133086,204513009,200413360
516,200751375,211053798,201244117
517,198533667,207523246,199765831
518,200148998,200903252,201242609
519,201127080,212416370,200379150
520,197495892,209884134,199331122
521,200815040,207328390,199816634
522,199006064,204094063,200018261
523,200855898,201162243,200188035
524,198855111,203511172,200447643
525,197292676,209354994,199148259
526,197558686,212538345,200593402
527,200072127,211172974,199972454
528,200389583,203044602,201195261
529,198643525,200521530,200364911
530,200957888,205563544,200971423
531,197507719,197926242,201055174
532,199900880,206292670,201041636
533,198183475,204409589,200216796
534,199022245,203135853,200210399
535,200071098,198621187,200387513
536,198709379,260307162,200818118
537,199423166,202869196,200244652
538,201509439,200320332,200440368
539,199134662,193510951,200636796
540,201253538,204889940,200047554
541,198305439,212089006,200015945
542,200794706,211645036,200420868
543,202162352,203171614,200487089
544,196292533,202591151,200716942
545,198804657,206875097,200835943
546,200865608,201006458,199950468
547,199695431,206207167,200093957
548,200556718,208064321,200014623
549,199094022,209907732,201206223
550,200129884,204599383,200439864
551,199766484,204185304,200508064
552,201751673,201488069,200528887
553,200381631,201692478,200142164
554,200506403,204094084,201282134
555,199382184,206469462,200705513
556,199268590,208654338,200519795
557,199351162,201787284,199947371
558,200591678,210970754,199919033
559,199368523,203915505,200345546
560,200434662,204914530,200150004
561,203113101,202011153,199966277
562,201306687,195303038,200314520
563,199510964,208536181,200391785
564,201801820,207947375,200570892
565,199387886,203874689,200248040
566,196942813,205267962,199996199
567,198487870,207063756,200013539
568,197193812,198749816,201106486
569,199472729,202883789,199874121
570,200027627,208177058,200681591
571,202514655,199982842,200759773
572,200490391,206174231,200439362
573,199671349,199573672,201383914
574,201244108,206865719,200750859
575,196683297,204857434,201421451
576,200353421,198539472,200174467
577,201156297,209658957,200183027
578,197782120,202061633,200763768
579,201715631,201758990,200369267
580,200507744,205802276,201342832
581,199377068,209594549,200670850
582,200949172,200936712,199977712
583,203406039,205246719,199631591
584,200272799,206715266,200460880
585,200372330,207772422,200455438
586,199310958,205705766,200656882
587,198725233,203531888,201105345
588,201245503,201689639,201039556
589,198715874,205344575,200210549
590,200107349,200711443,199853090
591,199283513,193314598,199882939
592,200718469,206746239,200131599
593,200500493,208615739,200316634
594,201556309,195548270,200652531
595,199234975,200961077,200099516
596,199595187,207476617,200640195
597,198531854,213229981,200681020
598,199333560,205083174,200571671
599,200565950,202087988,199935688
600,201135482,204268414,200733913
601,198616752,210499505,201540634
602,201304408,262982973,200622948
603,202033456,201803231,199023462
604,200620152,203069025,201120439
605,202815193,201186685,200148626
606,198839316,205490681,201632856
607,198133017,211498713,200558181
608,197331919,206292317,199657649
609,202244066,203990585,199467651
610,200981548,203832754,201269870
611,199916622,198747236,201052952
612,200419952,264060528,201613009
613,198311766,204688651,200505462
614,203668627,204278080,200471735
615,200193831,217772430,200308640
616,200164092,206195011,200170854
617,201088649,256778023,200303785
618,200721513,203294569,200608731
619,200335826,209593782,200078049
620,198814288,205453081,199665355
621,200707202,254861125,200579938
622,202823036,208676915,200066902
623,202018130,202327423,198880281
624,202389779,212493191,200776283
625,199233176,209320192,199945970
626,198515592,280466421,200830894
627,199811319,210124065,200818924
628,200083587,205271422,200641795
629,201641287,208411094,201748408
630,197461303,206938931,200430974
631,202294325,201614573,200357180
632,199762988,202425800,200841836
633,199359678,209119843,200472276
634,198481843,203660898,201080246
635,197517714,203385406,199865597
636,201234755,201179509,199873912
637,200109976,206694396,200882904
638,198065058,213250099,199917594
639,198057381,200729868,200804549
640,199496322,205096877,200685001
641,202503532,210648882,200152755
642,199610612,204681434,200683585
643,197745285,206809487,199882703
644,199631385,200750425,200000050
645,199590914,206713228,200381406
646,195954670,204251422,200539463
647,199918557,208942919,200348180
648,199653598,209749544,200716557
649,201044309,215358254,200694233
650,202773434,207318532,201264683
651,201689847,206303185,200452357
652,199596666,205777537,201097281
653,198340211,203587334,200960362
654,203860039,206353935,201646988
655,200088827,203818394,200436370
656,200020893,205673843,200289820
657,199963812,210270390,201128847
658,200297127,200973829,200692716
659,199783459,209559514,201140829
660,199139506,210268460,200858399
661,199179711,204527725,199446618
662,199950870,273168942,200688160
663,199184862,202568712,200655607
664,198930731,210187978,200566553
665,200159645,246003550,200433878
666,199617534,201002791,199703928
667,202255989,202980900,200937088
668,196023545,208362480,200686884
669,201637260,207186934,201050978
670,201869127,204044271,204122805
671,196889914,203532702,200753567
672,199485968,203432967,200382670
673,199442838,201310359,200571894
674,197888732,211461502,200388420
675,198833274,203710718,200771803
676,198334136,209868634,200418563
677,202628405,211085264,199974042
678,201403517,208993243,200543212
679,201907332,203273518,200392912
680,201082508,206614920,200458303
681,198306422,204903217,198906094
682,199213219,201385192,200841318
683,200734061,206297437,200342668
684,198166808,200283840,204076915
685,201069497,209750717,200961281
686,199639511,203141530,200818182
687,199437768,276834576,200336339
688,201066439,206133151,199923915
689,200666394,203964380,200589015
690,199458550,207346775,200561553
691,201738994,271924850,200962167
692,198378405,208485189,200278132
693,200923903,199616081,201097461
694,200889651,205505518,200229873
695,199535680,212755715,199827084
696,200489199,200998674,199933858
697,198123329,202289020,200468794
698,201386040,207055631,200467242
699,199722646,205718327,200663930
700,199215915,206402520,200454812
701,201573513,206956748,200988659
702,198943484,207538885,200369452
703,197887308,209438799,199501861
704,197665056,206639274,200439451
705,200909014,204034969,199496610
706,198079355,207690294,200635695
707,202632191,212599527,201028596
708,196877105,204469465,200006887
709,202544684,201101882,201209278
710,200316526,209428322,200921415
711,199854930,204518475,201103240
712,199182621,196309321,200594781
713,200598704,208389686,200003617
714,199943547,202858687,200890407
715,201654952,204637866,200187699
716,200171341,206327921,200558942
717,200225452,205761998,200414324
718,199454581,207837807,201062347
719,199914581,203258054,200865163
720,200461702,207052423,200459717
721,197434747,203961813,199524196
722,197977721,207955241,200182386
723,201114896,207461469,200852111
724,200256298,201258245,200640055
725,199724024,209343928,199748389
726,200027650,238570434,199596706
727,200521372,208232231,200597754
728,199190360,206469149,199971471
729,198832542,212352734,200019601
730,200293767,204106136,200836303
731,198532440,203602732,201101119
732,200612379,204922321,200124648
733,197446124,203787280,200477619
734,201543733,208199767,200462876
735,200708896,198534757,200417897
736,200384044,200785270,200520299
737,201474036,200728788,200878249
738,202498211,208801230,200163037
739,201521555,211842453,199737361
740,197238688,204582203,201345004
741,198080634,204324713,201044710
742,199062772,205280208,199948181
743,200039136,209647513,200567816
744,200776488,201290587,201005351
745,198911384,205953475,200874521
746,200280150,208900790,200731006
747,198866925,207004376,200414886
748,199082723,205758326,201363651
749,197890008,259740975,200610429
750,198615150,194187070,200242520
751,197972473,207711501,200935537
752,198536190,267247468,200548029
753,201580462,197677468,200674898
754,198575901,207044810,200601574
755,203948573,210494634,200748387
756,200739976,204450205,200010771
757,200277254,283092486,199774446
758,198712463,211449113,201217066
759,201050464,210259657,200624792
760,199136543,268138727,200885423
761,200183014,207968509,199620120
762,203840126,205301734,201033341
763,199855910,198592136,200239257
764,201723909,204015750,200096890
765,198945235,201627013,200468313
766,199947517,213683770,200011009
767,202656200,204296456,200499134
768,199059549,241862140,200431830
769,202718672,207205941,201030197
770,201061627,205174409,201256672
771,199156299,279473457,201240757
772,200948611,202509402,199367742
773,201458831,205778429,200032416
774,200932714,202030117,199362556
775,197644662,199719909,199903228
776,198909294,202552923,200175240
777,199628722,204851852,200705280
778,199888349,203282791,200240033
779,200931008,202230316,200253964
780,200266551,199374730,200590882
781,197996983,204667577,199645345
782,200570296,198981118,200080703
783,200915878,208040223,200248221
784,200839685,205329759,200398799
785,201621171,199169794,200538476
786,201250883,203763163,201250324
787,200688770,201991374,200954168
788,199894751,206276698,200115344
789,197508558,210361801,200369335
790,200644427,197499310,200335280
791,200311531,205460104,200242923
792,200407368,204359468,200636257
793,198084877,207685360,199570110
794,198378415,205852786,200940357
795,201579729,201992122,201346775
796,199940667,203723784,200365079
797,201022251,201815896,200355317
798,200042477,209304028,200578522
799,200044634,205085246,201009692
800,201407425,212604762,200337853
801,199225932,204757356,200966972
802,200144181,202166372,200744247
803,199306587,198945142,201680805
804,199348255,197787441,200335668
805,199536241,198663456,199511999
806,200333200,206068506,199783530
807,199281877,207034900,200505964
808,201883634,198675237,201013941
809,198658089,208580153,200173745
810,199719692,203067755,200384533
811,199340403,264357641,200842421
812,202170466,211448882,200017383
813,200294832,208587357,203737834
814,201547766,203925877,199916136
815,197771659,201435231,201089114
816,200400575,196392738,201270836
817,201334446,202123386,199710292
818,200123425,204155479,200428907
819,201598220,201051281,201203629
820,199224067,204474972,200699347
821,202114021,205307407,200255380
822,203448347,204100576,199726918
823,199455742,202399989,201076472
824,199331746,205674618,200680257
825,202180076,206767762,199763506
826,202369358,200638403,201094945
827,199215709,210643729,199699798
828,199369719,204605647,200389756
829,199577323,245258755,200367692
830,197983324,258238810,201309190
831,198622022,205932864,200369476
832,198493788,208812546,200367678
833,198848303,206148496,199818460
834,199947972,202550250,200179801
835,200351322,206446014,200091352
836,202325750,200425095,200117388
837,198502468,205434238,200503142
838,201476483,204867080,199282911
839,199679016,204167532,199744884
840,199925804,204485849,200444490
841,201012229,197472603,200560627
842,198315916,202805100,200383283
843,200573614,205371379,200479602
844,200249678,205639425,203227587
845,200738676,200889299,200490747
846,200433752,210062831,200717071
847,203682950,201535300,200713566
848,199043390,208877828,200155520
849,199203504,206708777,200957547
850,199065289,202415090,200578554
851,199166784,212101243,201116106
852,199043919,200225452,201216436
853,201783524,208676616,199778636
854,202130756,209002329,200070486
855,199143880,202317519,200906774
856,198751466,210569861,199667553
857,200707123,203999813,201210088
858,199171665,206154774,200328058
859,200949397,206041287,200787516
860,200304384,204462765,200441804
861,197726383,208243233,199803805
862,202321257,208173954,201027772
863,202693816,198005872,201875361
864,199080816,210217360,200242495
865,199418447,198350032,200338820
866,200428798,209130184,199175450
867,200501685,209506820,201175751
868,200987816,200636134,200955882
869,203015306,203356742,199633308
870,199734579,200577181,199467557
871,198802554,204140315,199525384
872,197931021,203767862,200822584
873,198903604,208118642,200872495
874,199950309,210241234,200038333
875,202691836,210582735,200749630
876,199223583,202751327,200579438
877,200335681,204163112,200316365
878,199975365,198266247,203754337
879,201782589,275854692,199897532
880,203790398,208859406,201073769
881,199203696,211462331,200135739
882,199265840,200062604,201390768
883,201566241,202630142,199997346
884,201022837,204894376,200324213
885,202770060,206120644,200529293
886,200875892,201761585,200526159
887,199461061,206696244,200745414
888,200885982,203104642,199857158
889,201663055,204942190,200481343
890,201230723,207185136,200569065
891,200760911,205025689,200236130
892,201600012,203254456,200702029
893,201753943,204561560,199826815
894,202073238,204646548,200336773
895,200973064,203519955,200123407
896,199749322,203964815,200338284
897,200220070,211394588,201223517
898,201809763,207243677,201233227
899,198774596,267767003,201135208
900,200553009,207787817,200268871
901,199409991,203664722,200953809
902,200043117,209692498,200556181
903,201917677,206478568,200522794
904,200286648,204570791,200461319
905,200069654,206790867,201379208
906,197960215,198716495,201182919
907,201119380,200492930,200872448
908,200968226,200224299,200414849
909,203244882,205571772,200519780
910,199538332,211930059,200765283
911,200328725,213925200,200239195
912,200374075,207552204,200969157
913,202366179,207003377,200039377
914,199857056,197795769,200695921
915,200418532,202829304,199355142
916,200911844,201848864,200224690
917,200279913,202516609,201538838
918,199330349,204327424,201018095
919,200291134,203111637,201267734
920,201610447,197082800,200166346
921,198460227,207991641,200551886
922,200199454,200709027,201140996
923,198949818,205956987,200816547
924,201792569,213296330,200754282
925,197715219,201322461,201315290
926,199161617,194878849,199979772
927,200565817,203855983,200407880
928,202348286,209403838,199622957
929,199901374,212833389,199952446
930,199167200,200081801,201037092
931,202821735,206986796,200041325
932,197827979,203138758,200867762
933,196701791,204576206,201329242
934,200660021,215577373,200411030
935,199246918,198988118,200759931
936,198468150,206014958,200871656
937,201062534,206870772,199889252
938,200365701,209343145,200191773
939,199153882,205391932,199998169
940,198079543,206232202,205033572
941,201308685,203433405,200858055
942,200975301,206076507,200202401
943,199851236,203627230,200482423
944,202769955,207486287,199978769
945,198394872,203521558,201113211
946,197711712,206508401,200227445
947,198962137,204882948,201261490
948,199931620,209504201,200530464
949,200365009,204794425,199796500
950,199638145,197907870,200414486
951,200528083,210047686,199968611
952,198122690,201377070,200794674
953,202165646,202384934,200369318
954,199876773,202617354,200581605
955,201675943,210497752,200315323
956,200514088,196457303,200222328
957,200685129,217550994,200013188
958,200854650,209224227,200918111
959,200671562,205892955,200413423
960,200964084,204780423,200342654
961,201993728,206142216,200400893
962,200294781,207084489,200160569
963,201063505,207580862,200344324
964,199865396,207222417,200602814
965,202160175,205358322,199982931
966,198985411,204210646,200055324
967,202701410,204394906,201189142
968,199939763,204220366,200318621
969,197853837,209535080,200224219
970,200192156,207374226,199828064
971,198978422,193238445,200925338
972,201260965,207623603,199972037
973,199021064,205778944,200492353
974,199330724,204925164,199645907
975,197165688,203445926,200909086
976,199321540,209496450,201088428
977,196364181,208790105,200742260
978,197624145,201908489,199732759
979,201140621,206628209,200919381
980,201178700,201113373,200086325
981,200638186,251436305,199914514
982,198549535,202493131,200308269
983,199928432,208449573,200298316
984,199994596,208812500,200247475
985,198262452,207052341,201136837
986,202255097,207900383,201505912
987,201316043,207064713,199815431
988,199668553,202434073,200155583
989,200040328,206727690,200571374
990,200312574,208201638,200305641
991,196937397,208017165,200699699
992,199629233,209755653,200957992
993,198977023,207833215,200874682
994,198497569,206405792,200804866
